qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
APHAN_134.Contig_12	NZ_JACJTO010000018.1:1320-3509	98.904	2190	24	0	57110	59299	2190	1	0.0	3912
APHAN_134.Contig_12	NZ_KE384629.1:c9741-7552	91.332	2192	184	6	57111	59299	2189	1	0.0	2990
APHAN_134.Contig_12	NZ_CP020114.1:1241535-1243700	77.214	2168	472	19	57143	59299	2157	1	0.0	1247
APHAN_134.Contig_13	NZ_JACJTO010000009.1:117224-119689	99.066	2462	23	0	22120	24581	2462	1	0.0	4420
APHAN_134.Contig_13	NZ_KE384619.1:34218-36698	92.106	2483	177	13	22116	24581	2481	1	0.0	3482
APHAN_134.Contig_13	NZ_CP065936.1:c230552-228069	79.498	2112	415	16	22120	24222	2480	378	0.0	1485
APHAN_134.Contig_22	NZ_KE384650.1:c5800-5135	91.867	664	54	0	27221	27884	664	1	0.0	928
APHAN_134.Contig_25	NZ_JACJTO010000021.1:c66481-63539	99.456	2943	16	0	3406	6348	1	2943	0.0	5347
APHAN_134.Contig_25	NZ_KE384613.1:50020-52932	90.347	2072	192	6	4271	6338	836	2903	0.0	2712
APHAN_134.Contig_25	NZ_KE384613.1:50020-52932	90.658	760	71	0	3406	4165	1	760	0.0	1011
APHAN_134.Contig_25	NZ_CP020114.1:1383340-1386210	81.541	2064	362	18	4271	6323	788	2843	0.0	1683
APHAN_134.Contig_25	NZ_CP020114.1:1383340-1386210	81.832	666	119	2	3458	4122	41	705	1.60e-158	558
APHAN_134.Contig_25	NZ_LAHB01000066.1:14261-17194	81.313	2071	375	12	4271	6335	839	2903	0.0	1670
APHAN_134.Contig_25	NZ_LAHB01000066.1:14261-17194	81.081	703	131	2	3456	4157	93	794	4.44e-159	560
APHAN_134.Contig_25	NZ_JANQDJ010000007.1:29007-31877	79.903	2065	388	23	4271	6320	788	2840	0.0	1489
APHAN_134.Contig_25	NZ_LR882952.1:3185638-3188601	76.405	1708	360	35	4639	6323	1261	2948	0.0	881
APHAN_134.Contig_25	NZ_CP065936.1:191293-194172	78.669	661	137	3	3466	4124	64	722	7.80e-122	436
APHAN_134.Contig_25	NZ_JACJTO010000025.1:c30911-28323	100.000	34	0	0	12267	12300	1960	1927	1.52e-09	63.9
APHAN_134.Contig_26	NZ_JACJTO010000047.1:c23055-22450	99.505	606	3	0	9226	9831	606	1	0.0	1103
APHAN_134.Contig_26	NZ_KE384593.1:7130-7735	89.769	606	62	0	9226	9831	606	1	0.0	776
APHAN_134.Contig_33	NZ_JACJTO010000025.1:c30911-28323	98.880	2589	29	0	3577	6165	2589	1	0.0	4621
APHAN_134.Contig_33	NZ_KE384599.1:c2617-29	92.544	2575	192	0	3591	6165	2575	1	0.0	3692
APHAN_134.Contig_33	NZ_CP020114.1:5263565-5266156	78.939	2507	497	19	3605	6100	2564	78	0.0	1676
APHAN_134.Contig_33	NZ_CP065936.1:2811061-2813625	77.857	2520	508	39	3605	6108	2537	52	0.0	1517
APHAN_134.Contig_33	NZ_LAHB01000054.1:c38656-35963	82.155	566	98	3	3608	4172	2657	2094	7.35e-136	483
APHAN_134.Contig_35	NZ_JACJTO010000016.1:c84639-82762	99.627	1878	7	0	10541	12418	1878	1	0.0	3430
APHAN_134.Contig_35	NZ_KE384623.1:141568-143448	87.573	1875	228	3	10547	12417	1875	2	0.0	2167
APHAN_134.Contig_35	NZ_CP047242.1:316001-317884	78.349	1866	398	6	10548	12410	1871	9	0.0	1203
APHAN_134.Contig_35	NZ_CP020114.1:c3685187-3683310	78.357	1862	389	13	10548	12402	1871	17	0.0	1194
APHAN_134.Contig_35	NZ_CP065936.1:c3200925-3199030	77.607	1822	354	36	10587	12369	1853	47	0.0	1055
APHAN_134.Contig_35	NZ_JANQDJ010000067.1:18792-20678	76.759	1876	426	8	10548	12418	1871	1	0.0	1040
APHAN_134.Contig_35	NZ_AJLL01000040.1:c5960-4056	77.870	967	204	10	10548	11509	1898	937	1.11e-168	592
APHAN_134.Contig_35	NZ_LR882952.1:825531-827390	74.453	1370	327	13	11036	12386	1395	30	5.19e-162	569
APHAN_134.Contig_39	NZ_JACJTO010000002.1:186697-187296	99.000	600	6	0	9463	10062	1	600	0.0	1075
APHAN_134.Contig_39	NZ_KE384626.1:c8487-7888	90.468	598	57	0	9463	10060	1	598	0.0	789
APHAN_134.Contig_41	NZ_JACJTO010000006.1:81111-83156	99.267	2046	15	0	14014	16059	2046	1	0.0	3696
APHAN_134.Contig_41	NZ_KE384624.1:28797-30842	86.917	1995	249	12	14048	16036	2012	24	0.0	2228
APHAN_134.Contig_41	NZ_JANQDJ010000009.1:c72615-70459	77.384	734	156	9	15226	15954	852	124	3.03e-119	427
APHAN_134.Contig_41	NZ_JANQDJ010000009.1:c72615-70459	73.523	880	211	20	14327	15195	1784	916	2.46e-85	315
APHAN_134.Contig_51	NZ_JACJTO010000018.1:c30292-29192	98.093	1101	21	0	23816	24916	1	1101	0.0	1917
APHAN_134.Contig_51	NZ_KE384623.1:85149-86249	86.849	1095	144	0	23816	24910	1	1095	0.0	1225
APHAN_134.Contig_51	NZ_CP020114.1:4133055-4134158	78.138	988	214	2	23924	24910	112	1098	2.32e-179	627
APHAN_134.Contig_55	NZ_JACJTO010000022.1:c32001-30271	99.480	1731	9	0	17925	19655	1731	1	0.0	3147
APHAN_134.Contig_55	NZ_KE384623.1:25615-27345	87.666	1727	210	3	17931	19655	1726	1	0.0	2006
APHAN_134.Contig_55	NZ_LAHB01000054.1:258-2006	76.221	1720	376	24	17944	19639	1727	17	0.0	880
APHAN_134.Contig_55	NZ_CP020114.1:c257109-255382	75.802	1715	377	35	17941	19639	1709	17	0.0	833
APHAN_134.Contig_55	NZ_AJLL01000058.1:c38773-37028	73.148	1728	421	35	17941	19639	1730	17	1.65e-165	580
APHAN_134.Contig_56	NZ_JACJTO010000053.1:c8096-6411	99.585	1686	7	0	6193	7878	1	1686	0.0	3075
APHAN_134.Contig_56	NZ_KE384659.1:c96890-95211	88.071	1685	186	7	6195	7876	6	1678	0.0	1984
APHAN_134.Contig_56	NZ_JANQDJ010000041.1:c129390-127708	75.160	1719	358	43	6193	7878	1	1683	0.0	745
APHAN_134.Contig_94	NZ_JACJTO010000044.1:29549-30664	99.552	1116	5	0	171	1286	1116	1	0.0	2034
APHAN_134.Contig_94	NZ_KE384611.1:20879-21994	86.404	1118	148	4	171	1286	1116	1	0.0	1219
APHAN_134.Contig_94	NZ_LAHB01000007.1:c37334-36204	76.357	1087	238	15	211	1286	1079	1	2.20e-161	566
APHAN_134.Contig_95	NZ_JACJTO010000005.1:73734-75203	99.184	1470	12	0	8157	9626	1470	1	0.0	2649
APHAN_134.Contig_95	NZ_KE384604.1:24243-25682	80.850	1436	265	10	8196	9626	1431	1	0.0	1120
CYANO_106.Contig_1	NZ_CP065936.1:c2460808-2459912	96.321	897	33	0	80965	81861	1	897	0.0	1474
CYANO_106.Contig_2	NZ_CP065936.1:c230552-228069	95.100	2490	116	1	2835	5324	2484	1	0.0	3917
CYANO_106.Contig_2	NZ_CP065936.1:c284085-282517	95.156	1569	76	0	56537	58105	1569	1	0.0	2477
CYANO_106.Contig_2	NZ_JACJTO010000009.1:117224-119689	78.805	2109	429	16	2842	4941	2459	360	0.0	1402
CYANO_106.Contig_2	NZ_CP020114.1:1494535-1497006	74.130	1983	481	27	2881	4847	2426	460	0.0	791
CYANO_106.Contig_2	NZ_KE384657.1:c38707-37184	81.257	939	174	2	56586	57523	1484	547	0.0	758
CYANO_106.Contig_2	NZ_AESD01000714.1:c2746-287	74.554	1289	310	17	2974	4253	2321	1042	4.93e-155	547
CYANO_106.Contig_2	NZ_JACJTO010000022.1:5217-6737	79.433	282	57	1	57660	57940	474	193	5.72e-50	198
CYANO_106.Contig_3	NZ_CP065936.1:191293-194172	94.583	2880	132	5	30570	33425	1	2880	0.0	4433
CYANO_106.Contig_3	NZ_KE384613.1:50020-52932	79.735	2038	399	10	31380	33410	847	2877	0.0	1463
CYANO_106.Contig_3	NZ_KE384613.1:50020-52932	80.593	675	127	3	30631	31303	59	731	3.61e-146	518
CYANO_106.Contig_3	NZ_JACJTO010000021.1:c66481-63539	78.778	2078	408	31	31348	33410	848	2907	0.0	1363
CYANO_106.Contig_3	NZ_JACJTO010000021.1:c66481-63539	80.333	661	126	3	30633	31291	61	719	4.70e-140	497
CYANO_106.Contig_3	NZ_CP020114.1:1383340-1386210	75.427	2808	634	49	30633	33409	49	2831	0.0	1312
CYANO_106.Contig_3	NZ_CP065936.1:224962-226071	87.365	1108	134	1	61836	62943	1	1102	0.0	1266
CYANO_106.Contig_3	NZ_LAHB01000066.1:14261-17194	74.883	2775	655	38	30633	33386	103	2856	0.0	1225
CYANO_106.Contig_3	NZ_AESD01000518.1:420-3281	75.110	1362	318	18	31989	33339	1396	2747	3.46e-176	617
CYANO_106.Contig_3	NZ_JACJTO010000044.1:29549-30664	75.254	1083	237	25	61862	62929	28	1094	1.02e-136	486
CYANO_106.Contig_3	NZ_KE384611.1:20879-21994	74.241	1087	246	26	61836	62905	1	1070	2.25e-118	425
CYANO_106.Contig_3	NZ_CP020114.1:c3753248-3752118	73.254	1088	259	27	61862	62926	28	1106	3.84e-101	368
CYANO_106.Contig_3	NZ_JXYX01000008.1:214032-216905	74.175	848	198	16	30658	31492	38	877	1.40e-90	333
CYANO_106.Contig_3	NZ_LR882952.1:3185638-3188601	74.722	629	155	4	30633	31259	52	678	6.66e-74	278
CYANO_106.Contig_7	NZ_CP065936.1:627637-627936	96.667	300	10	0	37912	38211	1	300	1.11e-140	499
CYANO_106.Contig_9	NZ_CP065936.1:2811061-2813625	95.596	2566	101	3	35384	37949	1	2554	0.0	4102
CYANO_106.Contig_9	NZ_JACJTO010000025.1:c30911-28323	76.704	2567	556	37	35390	37932	13	2561	0.0	1389
CYANO_106.Contig_9	NZ_KE384599.1:c2617-29	76.599	2564	564	33	35390	37932	13	2561	0.0	1378
CYANO_106.Contig_9	NZ_AJLL01000034.1:c27036-24415	71.957	2539	648	55	35444	37944	79	2591	0.0	686
CYANO_106.Contig_9	NZ_LAHB01000054.1:c38656-35963	79.655	580	116	2	37358	37936	2086	2664	1.10e-115	416
CYANO_106.Contig_11	NZ_CP065936.1:2751755-2754202	96.201	2448	90	1	17025	19469	2448	1	0.0	4002
CYANO_106.Contig_11	NZ_CP065936.1:2759464-2761836	92.577	2398	128	8	9432	11804	2373	1	0.0	3397
CYANO_106.Contig_11	NZ_CP020114.1:c2600812-2598359	75.587	1065	232	22	18226	19282	1232	188	2.39e-141	501
CYANO_106.Contig_11	NZ_LAHB01000022.1:56880-59330	73.296	1247	309	18	18216	19457	1240	13	6.83e-122	436
CYANO_106.Contig_12	NZ_CP065936.1:c2399438-2398872	97.178	567	16	0	24162	24728	567	1	0.0	959
CYANO_106.Contig_20	NZ_CP065936.1:c939913-937751	96.764	2163	70	0	24574	26736	1	2163	0.0	3607
CYANO_106.Contig_20	NZ_KE384629.1:c9741-7552	78.182	1815	386	10	24574	26383	1	1810	0.0	1149
CYANO_106.Contig_20	NZ_JACJTO010000018.1:1320-3509	78.072	1815	378	17	24574	26378	1	1805	0.0	1129
CYANO_106.Contig_22	NZ_CP065936.1:3751441-3753438	96.496	1998	70	0	10224	12221	1	1998	0.0	3302
CYANO_106.Contig_22	NZ_KE384619.1:c14724-12727	77.744	1968	418	18	10233	12190	10	1967	0.0	1190
CYANO_106.Contig_29	NZ_CP065936.1:978207-978839	95.447	637	25	1	11657	12293	1	633	0.0	1013
CYANO_106.Contig_33	NZ_CP065936.1:1179097-1180545	95.583	1449	64	0	9304	10752	1	1449	0.0	2322
CYANO_106.Contig_33	NZ_KE384604.1:24243-25682	70.523	1452	380	42	9304	10731	1	1428	5.31e-71	267
CYANO_106.Contig_45	NZ_CP065936.1:c2018766-2017693	96.834	1074	34	0	10975	12048	1	1074	0.0	1796
CYANO_106.Contig_46	NZ_CP065936.1:c1151754-1150639	96.502	1115	39	0	16232	17346	1	1115	0.0	1844
CYANO_106.Contig_50	NZ_CP065936.1:c2116201-2114903	95.381	1299	60	0	7635	8933	1	1299	0.0	2067
CYANO_106.Contig_50	NZ_LAHB01000015.1:c109909-108659	76.051	1094	252	9	7845	8933	163	1251	1.75e-159	560
CYANO_106.Contig_51	NZ_CP065936.1:844274-845995	95.428	1728	73	1	744	2471	1722	1	0.0	2748
CYANO_106.Contig_51	NZ_CP047242.1:4055998-4057746	72.922	1540	379	31	948	2471	1518	1	3.75e-141	499
CYANO_106.Contig_75	NZ_CP065936.1:c2133247-2132603	97.519	645	16	0	8992	9636	645	1	0.0	1103
CYANO_106.Contig_77	NZ_CP065936.1:c1419321-1418902	94.762	420	22	0	8953	9372	1	420	0.0	654
CYANO_106.Contig_85	NZ_CP065936.1:c1886757-1884934	96.054	963	38	0	5007	5969	862	1824	0.0	1568
CYANO_106.Contig_85	NZ_CP065936.1:c1886757-1884934	96.071	840	33	0	4185	5024	1	840	0.0	1369
CYANO_106.Contig_108	NZ_CP065936.1:1280496-1282148	96.249	1653	62	0	5024	6676	1653	1	0.0	2710
CYANO_106.Contig_116	NZ_CP065936.1:2907633-2908235	92.869	603	43	0	3043	3645	603	1	0.0	876
CYANO_106.Contig_129	NZ_CP065936.1:2181246-2181746	92.814	501	36	0	3591	4091	1	501	0.0	726
CYANO_106.Contig_158	NZ_CP065936.1:c3200925-3199030	95.085	1241	61	0	3102	4342	1895	655	0.0	1954
CYANO_45.Contig_1	NZ_LR882952.1:888775-890772	99.800	1998	4	0	335448	337445	1	1998	0.0	3668
CYANO_45.Contig_1	NZ_LR882952.1:825531-827390	100.000	1860	0	0	270597	272456	1	1860	0.0	3435
CYANO_45.Contig_1	NZ_LR882952.1:c878638-878027	98.693	612	8	0	324972	325583	612	1	0.0	1086
CYANO_45.Contig_1	NZ_LR882952.1:c878638-878027	97.462	197	5	0	324227	324423	612	416	5.31e-91	337
CYANO_45.Contig_1	NZ_JACJTO010000016.1:c84639-82762	74.471	1371	325	16	270626	271991	33	1383	4.81e-161	569
CYANO_45.Contig_1	NZ_KE384623.1:141568-143448	72.924	1385	341	24	270618	271991	25	1386	6.54e-125	449
CYANO_45.Contig_1	NZ_JXYX01000003.1:285054-286931	77.778	693	152	2	270711	271402	118	809	1.10e-117	425
CYANO_45.Contig_1	NZ_JXYX01000003.1:285054-286931	72.126	696	165	20	271783	272453	1178	1869	7.32e-45	183
CYANO_45.Contig_1	NZ_AESD01000514.1:2053-3888	73.068	1359	298	50	270675	272005	37	1355	5.12e-116	420
CYANO_45.Contig_1	NZ_CP065936.1:c3200925-3199030	73.160	924	215	22	271077	271991	505	1404	1.94e-80	302
CYANO_45.Contig_1	NZ_CP065936.1:c2399438-2398872	75.217	577	123	18	324972	325538	567	1	1.53e-66	255
CYANO_45.Contig_2	NZ_LR882952.1:3843913-3845499	99.307	1587	11	0	302334	303920	1	1587	0.0	2870
CYANO_45.Contig_2	NZ_LR882952.1:c3766327-3764780	99.935	1548	1	0	230752	232299	1548	1	0.0	2854
CYANO_45.Contig_2	NZ_LR882952.1:c3666574-3666056	100.000	519	0	0	130822	131340	519	1	0.0	959
CYANO_45.Contig_2	NZ_LR882952.1:c3655166-3654753	100.000	414	0	0	119676	120089	414	1	0.0	765
CYANO_45.Contig_2	NZ_CP020114.1:c2388482-2386908	76.344	837	196	2	302964	303799	589	1424	2.14e-124	448
CYANO_45.Contig_2	NZ_CP047242.1:c3607546-3606023	75.090	831	195	12	302963	303787	552	1376	2.85e-103	377
CYANO_45.Contig_2	NZ_JACJTO010000022.1:5217-6737	75.249	804	189	8	303013	303811	599	1397	3.69e-102	374
CYANO_45.Contig_2	NZ_KE384657.1:c38707-37184	74.791	837	195	14	302963	303791	555	1383	7.98e-99	363
CYANO_45.Contig_3	NZ_LR882952.1:933256-933792	100.000	537	0	0	23263	23799	1	537	0.0	992
CYANO_45.Contig_6	NZ_LR882952.1:2770426-2772612	99.954	2187	1	0	23539	25725	2187	1	0.0	4034
CYANO_45.Contig_6	NZ_JANQDJ010000018.1:69116-71290	75.072	690	159	13	24200	24883	1502	820	5.82e-83	309
CYANO_45.Contig_12	NZ_LR882952.1:2067445-2069868	99.959	2424	1	0	76001	78424	2424	1	0.0	4471
CYANO_45.Contig_13	NZ_LR882952.1:4391193-4392281	99.541	1089	5	0	14658	15746	1089	1	0.0	1984
CYANO_45.Contig_13	NZ_LAHB01000028.1:11747-12823	76.254	897	208	5	14789	15683	948	55	4.16e-132	472
CYANO_45.Contig_14	NZ_LR882952.1:2905382-2905909	99.621	528	2	0	82798	83325	1	528	0.0	965
CYANO_45.Contig_16	NZ_LR882952.1:c1965230-1962858	99.958	2373	1	0	12235	14607	2373	1	0.0	4377
CYANO_45.Contig_24	NZ_LR882952.1:4703243-4704967	99.826	1725	3	0	23877	25601	1	1725	0.0	3169
CYANO_45.Contig_26	NZ_LR882952.1:c1896596-1895931	99.550	666	3	0	8590	9255	666	1	0.0	1214
CYANO_45.Contig_28	NZ_LR882952.1:3185638-3188601	99.426	2964	17	0	10380	13343	2964	1	0.0	5380
CYANO_45.Contig_28	NZ_JACJTO010000021.1:c66481-63539	76.274	1707	364	33	10396	12083	2918	1234	0.0	870
CYANO_45.Contig_28	NZ_AESD01000518.1:420-3281	76.000	675	158	4	12620	13292	685	13	1.40e-94	346
CYANO_45.Contig_29	NZ_LR882952.1:c3281201-3279519	99.584	1683	7	0	43642	45324	1	1683	0.0	3070
CYANO_45.Contig_37	NZ_LR882952.1:4510967-4513630	99.437	2664	15	0	36014	38677	1	2664	0.0	4837
CYANO_45.Contig_37	NZ_LR882952.1:c4515998-4515366	99.526	633	3	0	40422	41054	633	1	0.0	1153
CYANO_45.Contig_37	NZ_CP047242.1:5269141-5271705	72.636	2496	617	41	36128	38608	106	2550	0.0	765
CYANO_45.Contig_38	NZ_LR882952.1:2341142-2342395	99.761	1254	3	0	19235	20488	1	1254	0.0	2300
CYANO_45.Contig_42	NZ_LR882952.1:4667585-4668514	99.892	930	1	0	24860	25789	1	930	0.0	1712
CYANO_45.Contig_43	NZ_LR882952.1:c1527206-1526073	100.000	1134	0	0	17169	18302	1134	1	0.0	2095
CYANO_45.Contig_56	NZ_LR882952.1:c4098973-4096490	100.000	2484	0	0	832	3315	2484	1	0.0	4588
CYANO_45.Contig_56	NZ_JXYX01000001.1:c845495-843027	76.912	1347	279	30	932	2262	2369	1039	0.0	736
CYANO_45.Contig_61	NZ_KE384612.1:c25373-24126	76.744	258	52	5	5432	5685	807	554	2.62e-32	137
CYANO_45.Contig_63	NZ_LR882952.1:c1487083-1485926	100.000	1158	0	0	12486	13643	1	1158	0.0	2139
CYANO_45.Contig_68	NZ_KE384612.1:c25373-24126	85.714	56	8	0	278	333	237	182	4.24e-09	60.2
CYANO_51_1.Contig_1	NZ_LR882952.1:3185638-3188601	77.636	2039	436	19	78580	80608	868	2896	0.0	1221
CYANO_51_1.Contig_1	NZ_LAHB01000066.1:14261-17194	79.332	629	124	4	77713	78338	103	728	2.02e-121	436
CYANO_51_1.Contig_1	NZ_JXYX01000008.1:214032-216905	78.961	385	81	0	77738	78122	38	422	3.63e-69	263
CYANO_51_1.Contig_25	NZ_LR882952.1:2067445-2069868	81.366	322	58	2	29621	29941	1243	923	4.97e-69	261
CYANO_51_1.Contig_25	NZ_LR882952.1:2067445-2069868	74.667	525	126	7	30030	30551	872	352	1.81e-58	226
CYANO_51_1.Contig_53	NZ_LR882952.1:c4098973-4096490	77.944	2072	442	15	12856	14919	2451	387	0.0	1280
CYANO_51_1.Contig_53	NZ_KE384599.1:c2617-29	71.983	2113	534	50	27317	29397	2561	475	5.56e-162	569
CYANO_51_1.Contig_53	NZ_JACJTO010000025.1:c30911-28323	71.708	2149	550	50	27317	29433	2561	439	2.60e-155	547
CYANO_51_1.Contig_57	NZ_CP020114.1:c4994885-4993635	78.070	114	25	0	1719	1832	726	613	1.83e-12	73.1
CYANO_51_1.Contig_57	NZ_CP085785.1:1916104-1917300	81.176	85	14	2	1671	1754	720	637	8.51e-11	67.6
CYANO_51_1.Contig_61	NZ_JACJTO010000018.1:c30292-29192	73.349	878	212	19	5864	6730	145	1011	1.59e-82	305
CYANO_51_1.Contig_63	NZ_CP020114.1:c3685187-3683310	72.819	1880	442	52	13352	15204	1871	34	2.98e-164	577
CYANO_51_1.Contig_63	NZ_AJLL01000040.1:c5960-4056	71.713	1909	488	46	13352	15228	1898	10	5.17e-137	486
CYANO_51_1.Contig_79	NZ_LR882952.1:888775-890772	79.202	1904	380	16	8369	10264	1997	102	0.0	1308
CYANO_51_1.Contig_79	NZ_CP020114.1:c123803-121806	76.289	1940	430	23	8402	10326	1964	40	0.0	1007
CYANO_51_1.Contig_79	NZ_AJLL01000063.1:c82007-80010	75.974	1977	451	19	8368	10332	1998	34	0.0	998
CYANO_51_1.Contig_122	NZ_LR882952.1:c3766327-3764780	87.692	65	8	0	6739	6803	130	66	7.31e-14	76.8
CYANO_51_1.Contig_151	NZ_LR882952.1:2770426-2772612	74.296	1739	405	36	3843	5560	1718	1	0.0	697
CYANO_51_1.Contig_151	NZ_AESD01000712.1:c15827-13695	69.876	1371	345	56	4097	5433	1443	107	1.22e-45	182
CYANO_51_1.Contig_183	NZ_LAHB01000028.1:11747-12823	77.031	997	227	2	11155	12150	1023	28	4.67e-163	571
CYANO_51_1.Contig_183	NZ_KE384612.1:c44638-43565	78.034	824	181	0	11327	12150	851	28	1.72e-147	520
CYANO_51_1.Contig_186	NZ_CP047242.1:2717252-2718502	74.307	794	198	6	4705	5495	429	1219	8.49e-91	331
CYANO_51_1.Contig_293	NZ_AESD01000164.1:3534-5099	75.565	929	210	12	1583	2501	580	1501	8.45e-125	442
CYANO_79.Contig_87	NZ_LAHB01000015.1:c109909-108659	82.645	121	19	2	3352	3471	810	691	3.00e-23	106
CYANO_79.Contig_382	NZ_JXYX01000014.1:c55009-53006	71.247	1492	409	17	693	2174	99	1580	3.01e-100	361
CYANO_79.Contig_599	NZ_KE384607.1:c13130-10728	88.000	75	9	0	2454	2528	1229	1155	1.16e-18	89.8
CYANO_84.Contig_1	NZ_JACJTO010000007.1:68616-70613	90.366	1993	188	4	35538	37528	1	1991	0.0	2614
CYANO_84.Contig_1	NZ_KE384619.1:c14724-12727	90.115	1993	195	2	35538	37529	1	1992	0.0	2588
CYANO_84.Contig_1	NZ_LAHB01000011.1:23963-25960	81.405	1979	358	8	35556	37529	19	1992	0.0	1607
CYANO_84.Contig_1	NZ_CP020114.1:c123803-121806	80.231	1993	379	14	35543	37528	7	1991	0.0	1483
