tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
1914872	Nodularia spumigena UHCC 0039	78015522	0	live	uvrB	BMF81_RS00580, BMF81_00115	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
2108055	Cylindrospermopsis raciborskii Cr2010	92782524	0	live	uvrB	C6N34_RS16975, C6N34_016925	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
2692891	Aphanizomenon flos-aquae FACHB-1287	78217381	0	live	uvrB	H6G44_RS05275, H6G44_05255	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
2971778	Umezakia ovalisporum Ak1311	83685926	0	live	uvrB	NWP25_RS13410, NWP25_13435	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
98439	Fischerella thermalis PCC 7521	35799221	0	live	uvrB	UYK_RS0114040	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
423471	Crocosphaera watsonii WH 0003	88764888	0	live	uvrB	CWATWH0003_RS04850, CWATWH0003_1021	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
269084	Synechococcus elongatus PCC 6301	72429388	0	live	uvrB	PCC6301pg_RS02900, PCC6301pg_0581	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
167542	Prochlorococcus marinus str. MIT 9515	60202143	0	live	uvrB	P9515_RS08830, P9515_18391	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB			NC_008817.1	1624175	1626214	minus	0		
167542	Prochlorococcus marinus str. MIT 9515	60201528	0	live	uvrC	P9515_RS04690, P9515_09641	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC			NC_008817.1	858529	860463	minus	0		
398007	Dolichospermum circinale AWQC131C	78013707	0	live	uvrC	ACIR131C_RS0114955	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
449441	Microcystis aeruginosa NIES-88	66706686	0	live	uvrC	OA58_RS10675, OA58_10740	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
375899	Trichormus variabilis 0441	58721850	0	live	uvrC	GSQ19_RS01170, GSQ19_01170	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
1160	Planktothrix agardhii	77286894	0	live	uvrC	NMG88_RS03785, NO976_00753	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC		I							
2108055	Cylindrospermopsis raciborskii Cr2010	92782063	0	live	uvrC	C6N34_RS14640, C6N34_014590	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
423471	Crocosphaera watsonii WH 0003	88766978	0	live	uvrC	CWATWH0003_RS16350, CWATWH0003_3445	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
2692891	Aphanizomenon flos-aquae FACHB-1287	78218295	0	live	uvrC	H6G44_RS09920, H6G44_09885	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
2971778	Umezakia ovalisporum Ak1311	83685727	0	live	uvrC	NWP25_RS12415, NWP25_12435	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
98439	Fischerella thermalis PCC 7521	35799822	0	live	uvrC	UYK_RS0110070	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
269084	Synechococcus elongatus PCC 6301	72430818	0	live	uvrC	PCC6301pg_RS10050, PCC6301pg_2024	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
1628744	Nostoc linckia z6	57091776	0	live	uvrC	VF07_RS00525, VF07_00510	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
1914872	Nodularia spumigena UHCC 0039	78018506	0	live	uvrC	BMF81_RS16465, BMF81_03224	excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC									
167542	Prochlorococcus marinus str. MIT 9515	60201452	0	live	P9515_RS05780	P9515_RS05780, P9515_11941	UvrD-helicase domain-containing protein	UvrD-helicase domain-containing protein			NC_008817.1	1051123	1054761	minus	0		
167542	Prochlorococcus marinus str. MIT 9515	60200401	0	live	P9515_RS01660	P9515_RS01660, P9515_03371	UvrD-helicase domain-containing protein	UvrD-helicase domain-containing protein			NC_008817.1	310235	312643	minus	0		
423471	Crocosphaera watsonii WH 0003	88768154	0	live	CWATWH0003_RS22685	CWATWH0003_RS22685, CWATWH0003_4777t4	UvrD-helicase domain-containing protein	UvrD-helicase domain-containing protein									
2108055	Cylindrospermopsis raciborskii Cr2010	92782553	0	live	C6N34_RS17125	C6N34_RS17125, C6N34_012125	UvrD-helicase domain-containing protein	UvrD-helicase domain-containing protein									
2108055	Cylindrospermopsis raciborskii Cr2010	92780985	0	live	recA	C6N34_RS09190, C6N34_009185	recombinase RecA	recombinase RecA									
1160	Planktothrix agardhii	77290159	0	live	recA	NMG88_RS20110, NO976_04016	recombinase RecA	recombinase RecA		I							
2692891	Aphanizomenon flos-aquae FACHB-1287	78219337	0	live	recA	H6G44_RS15220, H6G44_15165	recombinase RecA	recombinase RecA									
2971778	Umezakia ovalisporum Ak1311	83685033	0	live	recA	NWP25_RS08945, NWP25_08955	recombinase RecA	recombinase RecA									
98439	Fischerella thermalis PCC 7521	35795647	0	live	recA	UYK_RS0119160	recombinase RecA	recombinase RecA									
423471	Crocosphaera watsonii WH 0003	88766835	0	live	recA	CWATWH0003_RS15505, CWATWH0003_3265	recombinase RecA	recombinase RecA									
269084	Synechococcus elongatus PCC 6301	72429165	0	live	recA	PCC6301pg_RS01785, PCC6301pg_0358	recombinase RecA	recombinase RecA									
1628744	Nostoc linckia z6	57095343	0	live	recA	VF07_RS19345, VF07_18930	recombinase RecA	recombinase RecA									
375899	Trichormus variabilis 0441	58722498	0	live	recA	GSQ19_RS04410, GSQ19_04410	recombinase RecA	recombinase RecA									
398007	Dolichospermum circinale AWQC131C	78013076	0	live	recA	ACIR131C_RS0111230	recombinase RecA	recombinase RecA									
449441	Microcystis aeruginosa NIES-88	66706395	0	live	recA	OA58_RS09100, OA58_09165	recombinase RecA	recombinase RecA									
1914872	Nodularia spumigena UHCC 0039	78019392	0	live	recA	BMF81_RS21150	recombinase RecA	recombinase RecA									
167542	Prochlorococcus marinus str. MIT 9515	60201509	0	live	recA	P9515_RS08345, P9515_17441	recombinase RecA	recombinase RecA			NC_008817.1	1531998	1533110	plus	0		
167542	Prochlorococcus marinus str. MIT 9515	60200431	0	live	P9515_RS01530	P9515_RS01530, P9515_03101	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease			NC_008817.1	285417	286829	minus	0		
449441	Microcystis aeruginosa NIES-88	66705916	0	live	OA58_RS06495	OA58_RS06495, OA58_06510	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
1914872	Nodularia spumigena UHCC 0039	78018039	0	live	BMF81_RS13985	BMF81_RS13985	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
398007	Dolichospermum circinale AWQC131C	78012631	0	live	ACIR131C_RS0108635	ACIR131C_RS0108635	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
1160	Planktothrix agardhii	77289632	0	live	NMG88_RS17475	NMG88_RS17475, NO976_03494	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease		I							
375899	Trichormus variabilis 0441	58722438	0	live	GSQ19_RS04110	GSQ19_RS04110, GSQ19_04110	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
1628744	Nostoc linckia z6	57095468	0	live	VF07_RS20005	VF07_RS20005, VF07_19565	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
98439	Fischerella thermalis PCC 7521	35798705	0	live	UYK_RS0103450	UYK_RS0103450	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
269084	Synechococcus elongatus PCC 6301	72430927	0	live	PCC6301pg_RS10595	PCC6301pg_RS10595, PCC6301pg_2131	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
2971778	Umezakia ovalisporum Ak1311	83683919	0	live	NWP25_RS03375	NWP25_RS03375, NWP25_03380	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
2692891	Aphanizomenon flos-aquae FACHB-1287	78217112	0	live	H6G44_RS03880	H6G44_RS03880, H6G44_03870	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
423471	Crocosphaera watsonii WH 0003	88768958	0	live	CWATWH0003_RS27125	CWATWH0003_RS27125, CWATWH0003_B025	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
2108055	Cylindrospermopsis raciborskii Cr2010	92780229	0	live	C6N34_RS05380	C6N34_RS05380, C6N34_005400	TM0106 family RecB-like putative nuclease	TM0106 family RecB-like putative nuclease									
167542	Prochlorococcus marinus str. MIT 9515	60200636	0	live	P9515_RS05790	P9515_RS05790, P9515_11961	exodeoxyribonuclease V subunit gamma	exodeoxyribonuclease V subunit gamma			NC_008817.1	1055247	1058429	minus	0		
423471	Crocosphaera watsonii WH 0003	88768749	0	live	CWATWH0003_RS25885	CWATWH0003_RS25885, CWATWH0003_5431	ATP-dependent RecD-like DNA helicase	ATP-dependent RecD-like DNA helicase									
375899	Trichormus variabilis 0441	58727149	0	live	GSQ19_RS27665	GSQ19_RS27665, GSQ19_27665	ATP-dependent RecD-like DNA helicase	ATP-dependent RecD-like DNA helicase									
398007	Dolichospermum circinale AWQC131C	78013004	0	live	recF	ACIR131C_RS0110810	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
375899	Trichormus variabilis 0441	58726175	0	live	recF	GSQ19_RS22795, GSQ19_22795	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
1914872	Nodularia spumigena UHCC 0039	78018567	0	live	recF	BMF81_RS16790, BMF81_03286	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
449441	Microcystis aeruginosa NIES-88	66706044	0	live	recF	OA58_RS07180, OA58_07225	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
1160	Planktothrix agardhii	77287530	0	live	recF	NMG88_RS06965, NO976_01400	DNA replication/repair protein RecF	DNA replication/repair protein RecF		I							
1628744	Nostoc linckia z6	57092948	0	live	recF	VF07_RS06670, VF07_06510	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
167542	Prochlorococcus marinus str. MIT 9515	60201112	0	live	recF	P9515_RS08425, P9515_17601	DNA replication/repair protein RecF	DNA replication/repair protein RecF			NC_008817.1	1545297	1546388	minus	0		
423471	Crocosphaera watsonii WH 0003	88768363	0	live	recF	CWATWH0003_RS23795, CWATWH0003_5008	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
98439	Fischerella thermalis PCC 7521	35799246	0	live	recF	UYK_RS0114005	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
269084	Synechococcus elongatus PCC 6301	72431134	0	live	recF	PCC6301pg_RS11630, PCC6301pg_2339	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
2971778	Umezakia ovalisporum Ak1311	83684675	0	live	recF	NWP25_RS07155, NWP25_07160	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
2692891	Aphanizomenon flos-aquae FACHB-1287	78219716	0	live	recF	H6G44_RS17145, H6G44_17080	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
2108055	Cylindrospermopsis raciborskii Cr2010	92779347	0	live	recF	C6N34_RS00955, C6N34_000955	DNA replication/repair protein RecF	DNA replication/repair protein RecF									
167542	Prochlorococcus marinus str. MIT 9515	60200681	0	live	recG	P9515_RS04095, P9515_08281	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG			NC_008817.1	749068	751524	minus	0		
398007	Dolichospermum circinale AWQC131C	78013485	0	live	recG	ACIR131C_RS0113615	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
449441	Microcystis aeruginosa NIES-88	66705455	0	live	recG	OA58_RS03965, OA58_03950	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
1914872	Nodularia spumigena UHCC 0039	78016614	0	live	recG	BMF81_RS06385	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
2108055	Cylindrospermopsis raciborskii Cr2010	92779350	0	live	recG	C6N34_RS00970, C6N34_000970	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
2692891	Aphanizomenon flos-aquae FACHB-1287	78217704	0	live	recG	H6G44_RS06920, H6G44_06900	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
2971778	Umezakia ovalisporum Ak1311	83685243	0	live	recG	NWP25_RS09995, NWP25_10005	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
98439	Fischerella thermalis PCC 7521	35798532	0	live	recG	UYK_RS0103285	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
423471	Crocosphaera watsonii WH 0003	88768144	0	live	recG	CWATWH0003_RS22630, CWATWH0003_4763	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
269084	Synechococcus elongatus PCC 6301	72429932	0	live	recG	PCC6301pg_RS05620, PCC6301pg_1130	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
1628744	Nostoc linckia z6	57093514	0	live	recG	VF07_RS09675, VF07_09450	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
375899	Trichormus variabilis 0441	58724737	0	live	recG	GSQ19_RS15605, GSQ19_15605	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG									
1160	Planktothrix agardhii	77289917	0	live	recG	NMG88_RS18900, NO976_03780	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG		I							
449441	Microcystis aeruginosa NIES-88	66708786	0	live	recJ	OA58_RS21975, OA58_22105	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
398007	Dolichospermum circinale AWQC131C	78013752	0	live	recJ	ACIR131C_RS0115245	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
449441	Microcystis aeruginosa NIES-88	66705282	0	live	recJ	OA58_RS03030, OA58_03025	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
398007	Dolichospermum circinale AWQC131C	78013404	0	live	recJ	ACIR131C_RS0113150	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
1160	Planktothrix agardhii	77287952	0	live	recJ	NMG88_RS09075, NO976_01827	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ		I							
375899	Trichormus variabilis 0441	58723492	0	live	recJ	GSQ19_RS09380, GSQ19_09380	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
1914872	Nodularia spumigena UHCC 0039	78017766	0	live	recJ	BMF81_RS12485	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
2108055	Cylindrospermopsis raciborskii Cr2010	92780872	0	live	recJ	C6N34_RS08615, C6N34_008615	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
2108055	Cylindrospermopsis raciborskii Cr2010	92781655	0	live	recJ	C6N34_RS12580, C6N34_012540	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
2692891	Aphanizomenon flos-aquae FACHB-1287	78217247	0	live	recJ	H6G44_RS04585, H6G44_04570	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
2692891	Aphanizomenon flos-aquae FACHB-1287	78217783	0	live	recJ	H6G44_RS07320, H6G44_07300	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
2971778	Umezakia ovalisporum Ak1311	83683545	0	live	recJ	NWP25_RS01505, NWP25_01510	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
2971778	Umezakia ovalisporum Ak1311	83684157	0	live	recJ	NWP25_RS04565, NWP25_04570	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
269084	Synechococcus elongatus PCC 6301	72429340	0	live	recJ	PCC6301pg_RS02660, PCC6301pg_0533	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
269084	Synechococcus elongatus PCC 6301	72430758	0	live	recJ	PCC6301pg_RS09750, PCC6301pg_1963	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
423471	Crocosphaera watsonii WH 0003	88767212	0	live	recJ	CWATWH0003_RS17570, CWATWH0003_3700	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
423471	Crocosphaera watsonii WH 0003	88768758	0	live	recJ	CWATWH0003_RS25930, CWATWH0003_5441	single-stranded-DNA-specific exonuclease RecJ	single-stranded-DNA-specific exonuclease RecJ									
398007	Dolichospermum circinale AWQC131C	78013610	0	live	recN	ACIR131C_RS0114395	DNA repair protein RecN	DNA repair protein RecN									
449441	Microcystis aeruginosa NIES-88	66708379	0	live	recN	OA58_RS19810, OA58_19930	DNA repair protein RecN	DNA repair protein RecN									
1914872	Nodularia spumigena UHCC 0039	78015633	0	live	recN	BMF81_RS01175, BMF81_00227	DNA repair protein RecN	DNA repair protein RecN									
375899	Trichormus variabilis 0441	58724912	0	live	recN	GSQ19_RS16480, GSQ19_16480	DNA repair protein RecN	DNA repair protein RecN									
1160	Planktothrix agardhii	77290437	0	live	recN	NMG88_RS21500, NO976_04293	DNA repair protein RecN	DNA repair protein RecN		I							
2108055	Cylindrospermopsis raciborskii Cr2010	92779933	0	live	recN	C6N34_RS03895, C6N34_003915	DNA repair protein RecN	DNA repair protein RecN									
423471	Crocosphaera watsonii WH 0003	88765887	0	live	recN	CWATWH0003_RS10310, CWATWH0003_2169a1	DNA repair protein RecN	DNA repair protein RecN									
2692891	Aphanizomenon flos-aquae FACHB-1287	78218682	0	live	recN	H6G44_RS11905, H6G44_11860	DNA repair protein RecN	DNA repair protein RecN									
2971778	Umezakia ovalisporum Ak1311	83683898	0	live	recN	NWP25_RS03270, NWP25_03275	DNA repair protein RecN	DNA repair protein RecN									
269084	Synechococcus elongatus PCC 6301	72430650	0	live	recN	PCC6301pg_RS09210, PCC6301pg_1854	DNA repair protein RecN	DNA repair protein RecN									
98439	Fischerella thermalis PCC 7521	35798955	0	live	recN	UYK_RS0112295	DNA repair protein RecN	DNA repair protein RecN									
1628744	Nostoc linckia z6	57097181	0	live	recN	VF07_RS29070, VF07_28430	DNA repair protein RecN	DNA repair protein RecN									
398007	Dolichospermum circinale AWQC131C	78013877	0	live	recQ	ACIR131C_RS0115970	DNA helicase RecQ	DNA helicase RecQ									
1160	Planktothrix agardhii	77288743	0	live	recQ	NMG88_RS13030, NO976_02618	DNA helicase RecQ	DNA helicase RecQ		I							
449441	Microcystis aeruginosa NIES-88	66706647	0	live	recQ	OA58_RS10475, OA58_10540	DNA helicase RecQ	DNA helicase RecQ									
1914872	Nodularia spumigena UHCC 0039	78016401	0	live	recQ	BMF81_RS05240	DNA helicase RecQ	DNA helicase RecQ									
375899	Trichormus variabilis 0441	58725451	0	live	recQ	GSQ19_RS19175, GSQ19_19175	DNA helicase RecQ	DNA helicase RecQ									
2108055	Cylindrospermopsis raciborskii Cr2010	92780012	0	live	recQ	C6N34_RS04290, C6N34_004310	DNA helicase RecQ	DNA helicase RecQ									
2692891	Aphanizomenon flos-aquae FACHB-1287	78218366	0	live	recQ	H6G44_RS10290, H6G44_10255	DNA helicase RecQ	DNA helicase RecQ									
2971778	Umezakia ovalisporum Ak1311	83683854	0	live	recQ	NWP25_RS03050, NWP25_03055	DNA helicase RecQ	DNA helicase RecQ									
98439	Fischerella thermalis PCC 7521	35798524	0	live	recQ	UYK_RS0108795	DNA helicase RecQ	DNA helicase RecQ									
423471	Crocosphaera watsonii WH 0003	88768133	0	live	recQ	CWATWH0003_RS22575, CWATWH0003_4751	DNA helicase RecQ	DNA helicase RecQ									
1628744	Nostoc linckia z6	57097439	0	live	recQ	VF07_RS30490, VF07_29835	DNA helicase RecQ	DNA helicase RecQ									
167542	Prochlorococcus marinus str. MIT 9515	60201056	0	live	recR	P9515_RS05750, P9515_11881	recombination mediator RecR	recombination mediator RecR			NC_008817.1	1044161	1044760	minus	0		
449441	Microcystis aeruginosa NIES-88	66705557	0	live	recR	OA58_RS04550, OA58_04540	recombination mediator RecR	recombination mediator RecR									
1914872	Nodularia spumigena UHCC 0039	78015683	0	live	recR	BMF81_RS01440	recombination mediator RecR	recombination mediator RecR									
398007	Dolichospermum circinale AWQC131C	78013799	0	live	recR	ACIR131C_RS0115515	recombination mediator RecR	recombination mediator RecR									
1160	Planktothrix agardhii	77286949	0	live	recR	NMG88_RS04060, NO976_00808	recombination mediator RecR	recombination mediator RecR		I							
375899	Trichormus variabilis 0441	58724929	0	live	recR	GSQ19_RS16565, GSQ19_16565	recombination mediator RecR	recombination mediator RecR									
423471	Crocosphaera watsonii WH 0003	88765582	0	live	recR	CWATWH0003_RS08650, CWATWH0003_1831	recombination mediator RecR	recombination mediator RecR									
269084	Synechococcus elongatus PCC 6301	72430229	0	live	recR	PCC6301pg_RS07105, PCC6301pg_1431	recombination mediator RecR	recombination mediator RecR									
98439	Fischerella thermalis PCC 7521	35797990	0	live	recR	UYK_RS0101135	recombination mediator RecR	recombination mediator RecR									
2108055	Cylindrospermopsis raciborskii Cr2010	92781306	0	live	recR	C6N34_RS10825, C6N34_010800	recombination mediator RecR	recombination mediator RecR									
2692891	Aphanizomenon flos-aquae FACHB-1287	78216737	0	live	recR	H6G44_RS01955, H6G44_01955	recombination mediator RecR	recombination mediator RecR									
2971778	Umezakia ovalisporum Ak1311	83683674	0	live	recR	NWP25_RS02150, NWP25_02155	recombination mediator RecR	recombination mediator RecR									
167542	Prochlorococcus marinus str. MIT 9515	60200598	0	live	recO	P9515_RS02270, P9515_04601	DNA repair protein RecO	DNA repair protein RecO			NC_008817.1	408975	409754	minus	0		
398007	Dolichospermum circinale AWQC131C	78011711	0	live	recO	ACIR131C_RS0103265	DNA repair protein RecO	DNA repair protein RecO									
449441	Microcystis aeruginosa NIES-88	66708399	0	live	recO	OA58_RS19910, OA58_20030	DNA repair protein RecO	DNA repair protein RecO									
1914872	Nodularia spumigena UHCC 0039	78016875	0	live	recO	BMF81_RS07785	DNA repair protein RecO	DNA repair protein RecO									
375899	Trichormus variabilis 0441	58723389	0	live	recO	GSQ19_RS08865, GSQ19_08865	DNA repair protein RecO	DNA repair protein RecO									
1628744	Nostoc linckia z6	57094999	0	live	recO	VF07_RS17530, VF07_17155	DNA repair protein RecO	DNA repair protein RecO									
423471	Crocosphaera watsonii WH 0003	88765134	0	live	recO	CWATWH0003_RS06220, CWATWH0003_1322	DNA repair protein RecO	DNA repair protein RecO									
1160	Planktothrix agardhii	77290400	0	live	recO	NMG88_RS21315, NO976_04260	DNA repair protein RecO	DNA repair protein RecO		I							
2108055	Cylindrospermopsis raciborskii Cr2010	92781376	0	live	recO	C6N34_RS11175, C6N34_011150	DNA repair protein RecO	DNA repair protein RecO									
2692891	Aphanizomenon flos-aquae FACHB-1287	78217009	0	live	recO	H6G44_RS03355, H6G44_03345	DNA repair protein RecO	DNA repair protein RecO									
2971778	Umezakia ovalisporum Ak1311	83686413	0	live	recO	NWP25_RS15845, NWP25_15870	DNA repair protein RecO	DNA repair protein RecO									
269084	Synechococcus elongatus PCC 6301	72429837	0	live	recO	PCC6301pg_RS05145, PCC6301pg_1031	DNA repair protein RecO	DNA repair protein RecO									
98439	Fischerella thermalis PCC 7521	35797964	0	live	recO	UYK_RS0101120	DNA repair protein RecO	DNA repair protein RecO									
1914872	Nodularia spumigena UHCC 0039	78019360	0	live	ruvA	BMF81_RS20975	Holliday junction branch migration protein RuvA	Holliday junction branch migration protein RuvA									
398007	Dolichospermum circinale AWQC131C	78013453	0	live	ruvA	ACIR131C_RS0113430	Holliday junction branch migration protein RuvA	Holliday junction branch migration protein RuvA									
167542	Prochlorococcus marinus str. MIT 9515	60200560	0	live	ruvA	P9515_RS04995, P9515_10251	Holliday junction branch migration protein RuvA	Holliday junction branch migration protein RuvA			NC_008817.1	916597	917283	plus	0		
1160	Planktothrix agardhii	77290262	0	live	ruvA	NMG88_RS20625, NO976_04121	Holliday junction branch migration protein RuvA	Holliday junction branch migration protein RuvA		I							
